level_0,level_1,level_2,Total Return ($),Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Treynor Ratio,Information Ratio,Max Drawdown (%),Max Drawdown Duration (days),Beta,Alpha,entry_threshold,lookback_window,p-value
"('entry_threshold', 1.6)","('lookback_window', 100)","('p-value', 0.1)",-84523.5,-16.9,-2.77,0.95,-2.91,-2.22,0.16,-4.23,-0.21,-17.15,1564.0,0.00654,-0.03,1.6,100,0.1
"('entry_threshold', 1.6)","('lookback_window', 60)","('p-value', 0.05)",-68626.96,-13.73,-2.21,0.75,-2.94,-2.12,0.16,-7.75,-0.17,-13.89,1590.0,0.00285,-0.02,1.6,60,0.05
"('entry_threshold', 1.2)","('lookback_window', 100)","('p-value', 0.05)",-81230.44,-16.25,-2.65,0.89,-2.96,-2.4,0.16,-16.13,-0.2,-16.59,1564.0,0.00164,-0.03,1.2,100,0.05
"('entry_threshold', 0.8)","('lookback_window', 100)","('p-value', 0.05)",-107307.81,-21.46,-3.59,1.17,-3.07,-2.93,0.17,-12.64,-0.28,-21.65,1564.0,0.00284,-0.04,0.8,100,0.05
"('entry_threshold', 1.2)","('lookback_window', 60)","('p-value', 0.05)",-97403.82,-19.48,-3.23,1.03,-3.15,-2.65,0.16,-11.3,-0.25,-19.64,1600.0,0.00286,-0.03,1.2,60,0.05
"('entry_threshold', 1.2)","('lookback_window', 100)","('p-value', 0.1)",-126851.6,-25.37,-4.33,1.33,-3.27,-3.01,0.17,-6.21,-0.34,-25.64,1564.0,0.00698,-0.05,1.2,100,0.1
"('entry_threshold', 0.8)","('lookback_window', 100)","('p-value', 0.1)",-166582.48,-33.32,-5.95,1.74,-3.43,-3.56,0.18,-6.61,-0.46,-33.32,1564.0,0.009,-0.06,0.8,100,0.1
"('entry_threshold', 1.8)","('lookback_window', 60)","('p-value', 0.1)",-89015.08,-17.8,-2.93,0.83,-3.5,-2.63,0.16,-6.5,-0.23,-17.97,1603.0,0.0045,-0.03,1.8,60,0.1
"('entry_threshold', 0.8)","('lookback_window', 60)","('p-value', 0.05)",-146232.23,-29.25,-5.1,1.43,-3.57,-3.2,0.17,-27.64,-0.39,-29.43,1597.0,0.00185,-0.05,0.8,60,0.05
"('entry_threshold', 1.6)","('lookback_window', 60)","('p-value', 0.1)",-114570.31,-22.91,-3.86,1.0,-3.85,-3.13,0.17,-8.79,-0.3,-23.12,1602.0,0.0044,-0.04,1.6,60,0.1
"('entry_threshold', 1.2)","('lookback_window', 60)","('p-value', 0.1)",-157131.05,-31.43,-5.55,1.34,-4.13,-3.88,0.18,-12.41,-0.43,-31.61,1598.0,0.00448,-0.06,1.2,60,0.1
"('entry_threshold', 0.8)","('lookback_window', 60)","('p-value', 0.1)",-215073.97,-43.01,-8.16,1.84,-4.45,-4.42,0.19,-31.79,-0.63,-43.15,1601.0,0.00257,-0.09,0.8,60,0.1
